topic,proportion,timeStep
Topic-9,1,01/30/17:07:30:01
Topic-0,57,01/30/17:08:00:01
Topic-1,47,01/30/17:08:00:01
Topic-2,7,01/30/17:08:00:01
Topic-3,6,01/30/17:08:00:01
Topic-4,20,01/30/17:08:00:01
Topic-5,23,01/30/17:08:00:01
Topic-6,59,01/30/17:08:00:01
Topic-7,14,01/30/17:08:00:01
Topic-8,24,01/30/17:08:00:01
Topic-9,0,01/30/17:08:00:01
Topic-0,53,01/30/17:08:30:01
Topic-1,52,01/30/17:08:30:01
Topic-2,7,01/30/17:08:30:01
Topic-3,12,01/30/17:08:30:01
Topic-4,33,01/30/17:08:30:01
Topic-5,37,01/30/17:08:30:01
Topic-6,74,01/30/17:08:30:01
Topic-7,13,01/30/17:08:30:01
Topic-8,14,01/30/17:08:30:01
Topic-9,1,01/30/17:08:30:01
Topic-0,59,01/30/17:09:00:01
Topic-1,40,01/30/17:09:00:01
Topic-2,5,01/30/17:09:00:01
Topic-3,10,01/30/17:09:00:01
Topic-4,36,01/30/17:09:00:01
Topic-5,44,01/30/17:09:00:01
Topic-6,68,01/30/17:09:00:01
Topic-7,8,01/30/17:09:00:01
Topic-8,22,01/30/17:09:00:01
Topic-9,1,01/30/17:09:00:01
Topic-0,59,01/30/17:09:30:01
Topic-1,42,01/30/17:09:30:01
Topic-2,18,01/30/17:09:30:01
Topic-3,21,01/30/17:09:30:01
Topic-4,35,01/30/17:09:30:01
Topic-5,24,01/30/17:09:30:01
Topic-6,41,01/30/17:09:30:01
Topic-7,30,01/30/17:09:30:01
Topic-8,18,01/30/17:09:30:01
Topic-9,3,01/30/17:09:30:01
Topic-0,71,01/30/17:10:00:01
Topic-1,39,01/30/17:10:00:01
Topic-2,17,01/30/17:10:00:01
Topic-3,8,01/30/17:10:00:01
Topic-4,53,01/30/17:10:00:01
Topic-5,32,01/30/17:10:00:01
Topic-6,52,01/30/17:10:00:01
Topic-7,40,01/30/17:10:00:01
Topic-8,24,01/30/17:10:00:01
Topic-9,1,01/30/17:10:00:01
Topic-0,113,01/30/17:10:30:01
Topic-1,64,01/30/17:10:30:01
Topic-2,22,01/30/17:10:30:01
Topic-3,22,01/30/17:10:30:01
Topic-4,52,01/30/17:10:30:01
Topic-5,29,01/30/17:10:30:01
Topic-6,51,01/30/17:10:30:01
Topic-7,34,01/30/17:10:30:01
Topic-8,24,01/30/17:10:30:01
Topic-9,4,01/30/17:10:30:01
Topic-0,99,01/30/17:11:00:01
Topic-1,76,01/30/17:11:00:01
Topic-2,23,01/30/17:11:00:01
Topic-3,32,01/30/17:11:00:01
Topic-4,74,01/30/17:11:00:01
Topic-5,30,01/30/17:11:00:01
Topic-6,61,01/30/17:11:00:01
Topic-7,36,01/30/17:11:00:01
Topic-8,25,01/30/17:11:00:01
Topic-9,4,01/30/17:11:00:01
Topic-0,120,01/30/17:11:30:01
Topic-1,48,01/30/17:11:30:01
Topic-2,28,01/30/17:11:30:01
Topic-3,31,01/30/17:11:30:01
Topic-4,80,01/30/17:11:30:01
Topic-5,26,01/30/17:11:30:01
Topic-6,52,01/30/17:11:30:01
Topic-7,34,01/30/17:11:30:01
Topic-8,28,01/30/17:11:30:01
Topic-9,4,01/30/17:11:30:01
Topic-0,153,01/30/17:12:00:01
Topic-1,80,01/30/17:12:00:01
Topic-2,42,01/30/17:12:00:01
Topic-3,24,01/30/17:12:00:01
Topic-4,76,01/30/17:12:00:01
Topic-5,48,01/30/17:12:00:01
Topic-6,48,01/30/17:12:00:01
Topic-7,43,01/30/17:12:00:01
Topic-8,19,01/30/17:12:00:01
Topic-9,4,01/30/17:12:00:01
Topic-0,177,01/30/17:12:30:01
Topic-1,79,01/30/17:12:30:01
Topic-2,39,01/30/17:12:30:01
Topic-3,26,01/30/17:12:30:01
Topic-4,80,01/30/17:12:30:01
Topic-5,44,01/30/17:12:30:01
Topic-6,46,01/30/17:12:30:01
Topic-7,40,01/30/17:12:30:01
Topic-8,37,01/30/17:12:30:01
Topic-9,0,01/30/17:12:30:01
Topic-0,111,01/30/17:13:00:01
Topic-1,73,01/30/17:13:00:01
Topic-2,33,01/30/17:13:00:01
Topic-3,52,01/30/17:13:00:01
Topic-4,66,01/30/17:13:00:01
Topic-5,50,01/30/17:13:00:01
Topic-6,41,01/30/17:13:00:01
Topic-7,45,01/30/17:13:00:01
Topic-8,32,01/30/17:13:00:01
Topic-9,8,01/30/17:13:00:01
Topic-0,127,01/30/17:13:30:01
Topic-1,104,01/30/17:13:30:01
Topic-2,58,01/30/17:13:30:01
Topic-3,36,01/30/17:13:30:01
Topic-4,75,01/30/17:13:30:01
Topic-5,40,01/30/17:13:30:01
Topic-6,50,01/30/17:13:30:01
Topic-7,57,01/30/17:13:30:01
Topic-8,27,01/30/17:13:30:01
Topic-9,11,01/30/17:13:30:01
Topic-0,164,01/30/17:14:00:01
Topic-1,114,01/30/17:14:00:01
Topic-2,74,01/30/17:14:00:01
Topic-3,29,01/30/17:14:00:01
Topic-4,44,01/30/17:14:00:01
Topic-5,37,01/30/17:14:00:01
Topic-6,66,01/30/17:14:00:01
Topic-7,56,01/30/17:14:00:01
Topic-8,21,01/30/17:14:00:01
Topic-9,11,01/30/17:14:00:01
Topic-0,117,01/30/17:14:30:01
Topic-1,122,01/30/17:14:30:01
Topic-2,51,01/30/17:14:30:01
Topic-3,50,01/30/17:14:30:01
Topic-4,89,01/30/17:14:30:01
Topic-5,27,01/30/17:14:30:01
Topic-6,45,01/30/17:14:30:01
Topic-7,52,01/30/17:14:30:01
Topic-8,23,01/30/17:14:30:01
Topic-9,16,01/30/17:14:30:01
Topic-0,130,01/30/17:15:00:01
Topic-1,82,01/30/17:15:00:01
Topic-2,65,01/30/17:15:00:01
Topic-3,33,01/30/17:15:00:01
Topic-4,87,01/30/17:15:00:01
Topic-5,33,01/30/17:15:00:01
Topic-6,65,01/30/17:15:00:01
Topic-7,97,01/30/17:15:00:01
Topic-8,27,01/30/17:15:00:01
Topic-9,17,01/30/17:15:00:01
Topic-0,138,01/30/17:15:30:01
Topic-1,118,01/30/17:15:30:01
Topic-2,53,01/30/17:15:30:01
Topic-3,32,01/30/17:15:30:01
Topic-4,49,01/30/17:15:30:01
Topic-5,34,01/30/17:15:30:01
Topic-6,46,01/30/17:15:30:01
Topic-7,86,01/30/17:15:30:01
Topic-8,17,01/30/17:15:30:01
Topic-9,13,01/30/17:15:30:01
Topic-0,152,01/30/17:16:00:01
Topic-1,125,01/30/17:16:00:01
Topic-2,68,01/30/17:16:00:01
Topic-3,19,01/30/17:16:00:01
Topic-4,106,01/30/17:16:00:01
Topic-5,34,01/30/17:16:00:01
Topic-6,48,01/30/17:16:00:01
Topic-7,74,01/30/17:16:00:01
Topic-8,23,01/30/17:16:00:01
Topic-9,14,01/30/17:16:00:01
Topic-0,161,01/30/17:16:30:01
Topic-1,121,01/30/17:16:30:01
Topic-2,51,01/30/17:16:30:01
Topic-3,29,01/30/17:16:30:01
Topic-4,69,01/30/17:16:30:01
Topic-5,20,01/30/17:16:30:01
Topic-6,85,01/30/17:16:30:01
Topic-7,50,01/30/17:16:30:01
Topic-8,23,01/30/17:16:30:01
Topic-9,22,01/30/17:16:30:01
Topic-0,158,01/30/17:17:00:01
Topic-1,118,01/30/17:17:00:01
Topic-2,55,01/30/17:17:00:01
Topic-3,39,01/30/17:17:00:01
Topic-4,73,01/30/17:17:00:01
Topic-5,20,01/30/17:17:00:01
Topic-6,72,01/30/17:17:00:01
Topic-7,80,01/30/17:17:00:01
Topic-8,26,01/30/17:17:00:01
Topic-9,27,01/30/17:17:00:01
Topic-0,135,01/30/17:17:30:01
Topic-1,106,01/30/17:17:30:01
Topic-2,38,01/30/17:17:30:01
Topic-3,34,01/30/17:17:30:01
Topic-4,31,01/30/17:17:30:01
Topic-5,18,01/30/17:17:30:01
Topic-6,56,01/30/17:17:30:01
Topic-7,94,01/30/17:17:30:01
Topic-8,29,01/30/17:17:30:01
Topic-9,17,01/30/17:17:30:01
Topic-0,163,01/30/17:18:00:01
Topic-1,94,01/30/17:18:00:01
Topic-2,42,01/30/17:18:00:01
Topic-3,49,01/30/17:18:00:01
Topic-4,64,01/30/17:18:00:01
Topic-5,19,01/30/17:18:00:01
Topic-6,57,01/30/17:18:00:01
Topic-7,120,01/30/17:18:00:01
Topic-8,10,01/30/17:18:00:01
Topic-9,16,01/30/17:18:00:01
Topic-0,152,01/30/17:18:30:01
Topic-1,94,01/30/17:18:30:01
Topic-2,29,01/30/17:18:30:01
Topic-3,52,01/30/17:18:30:01
Topic-4,89,01/30/17:18:30:01
Topic-5,19,01/30/17:18:30:01
Topic-6,65,01/30/17:18:30:01
Topic-7,125,01/30/17:18:30:01
Topic-8,26,01/30/17:18:30:01
Topic-9,23,01/30/17:18:30:01
Topic-0,143,01/30/17:19:00:01
Topic-1,111,01/30/17:19:00:01
Topic-2,41,01/30/17:19:00:01
Topic-3,32,01/30/17:19:00:01
Topic-4,65,01/30/17:19:00:01
Topic-5,39,01/30/17:19:00:01
Topic-6,67,01/30/17:19:00:01
Topic-7,77,01/30/17:19:00:01
Topic-8,16,01/30/17:19:00:01
Topic-9,30,01/30/17:19:00:01
Topic-0,138,01/30/17:19:30:01
Topic-1,93,01/30/17:19:30:01
Topic-2,64,01/30/17:19:30:01
Topic-3,56,01/30/17:19:30:01
Topic-4,63,01/30/17:19:30:01
Topic-5,32,01/30/17:19:30:01
Topic-6,54,01/30/17:19:30:01
Topic-7,82,01/30/17:19:30:01
Topic-8,26,01/30/17:19:30:01
Topic-9,8,01/30/17:19:30:01
Topic-0,139,01/30/17:20:00:01
Topic-1,90,01/30/17:20:00:01
Topic-2,52,01/30/17:20:00:01
Topic-3,20,01/30/17:20:00:01
Topic-4,65,01/30/17:20:00:01
Topic-5,21,01/30/17:20:00:01
Topic-6,53,01/30/17:20:00:01
Topic-7,63,01/30/17:20:00:01
Topic-8,32,01/30/17:20:00:01
Topic-9,17,01/30/17:20:00:01
Topic-0,168,01/30/17:20:30:01
Topic-1,93,01/30/17:20:30:01
Topic-2,54,01/30/17:20:30:01
Topic-3,28,01/30/17:20:30:01
Topic-4,64,01/30/17:20:30:01
Topic-5,40,01/30/17:20:30:01
Topic-6,56,01/30/17:20:30:01
Topic-7,74,01/30/17:20:30:01
Topic-8,22,01/30/17:20:30:01
Topic-9,15,01/30/17:20:30:01
Topic-0,140,01/30/17:21:00:01
Topic-1,82,01/30/17:21:00:01
Topic-2,42,01/30/17:21:00:01
Topic-3,41,01/30/17:21:00:01
Topic-4,63,01/30/17:21:00:01
Topic-5,27,01/30/17:21:00:01
Topic-6,58,01/30/17:21:00:01
Topic-7,103,01/30/17:21:00:01
Topic-8,35,01/30/17:21:00:01
Topic-9,13,01/30/17:21:00:01
Topic-0,134,01/30/17:21:30:01
Topic-1,88,01/30/17:21:30:01
Topic-2,73,01/30/17:21:30:01
Topic-3,23,01/30/17:21:30:01
Topic-4,68,01/30/17:21:30:01
Topic-5,32,01/30/17:21:30:01
Topic-6,45,01/30/17:21:30:01
Topic-7,90,01/30/17:21:30:01
Topic-8,21,01/30/17:21:30:01
Topic-9,18,01/30/17:21:30:01
Topic-0,141,01/30/17:22:00:01
Topic-1,89,01/30/17:22:00:01
Topic-2,44,01/30/17:22:00:01
Topic-3,27,01/30/17:22:00:01
Topic-4,51,01/30/17:22:00:01
Topic-5,29,01/30/17:22:00:01
Topic-6,41,01/30/17:22:00:01
Topic-7,82,01/30/17:22:00:01
Topic-8,25,01/30/17:22:00:01
Topic-9,195,01/30/17:22:00:01
Topic-0,133,01/30/17:22:30:01
Topic-1,91,01/30/17:22:30:01
Topic-2,61,01/30/17:22:30:01
Topic-3,29,01/30/17:22:30:01
Topic-4,53,01/30/17:22:30:01
Topic-5,11,01/30/17:22:30:01
Topic-6,37,01/30/17:22:30:01
Topic-7,73,01/30/17:22:30:01
Topic-8,18,01/30/17:22:30:01
Topic-9,155,01/30/17:22:30:01
Topic-0,146,01/30/17:23:00:01
Topic-1,88,01/30/17:23:00:01
Topic-2,31,01/30/17:23:00:01
Topic-3,19,01/30/17:23:00:01
Topic-4,64,01/30/17:23:00:01
Topic-5,18,01/30/17:23:00:01
Topic-6,18,01/30/17:23:00:01
Topic-7,75,01/30/17:23:00:01
Topic-8,17,01/30/17:23:00:01
Topic-9,113,01/30/17:23:00:01
Topic-0,132,01/30/17:23:30:01
Topic-1,72,01/30/17:23:30:01
Topic-2,55,01/30/17:23:30:01
Topic-3,17,01/30/17:23:30:01
Topic-4,64,01/30/17:23:30:01
Topic-5,15,01/30/17:23:30:01
Topic-6,18,01/30/17:23:30:01
Topic-7,58,01/30/17:23:30:01
Topic-8,18,01/30/17:23:30:01
Topic-9,87,01/30/17:23:30:01
Topic-0,113,01/31/17:00:00:01
Topic-1,71,01/31/17:00:00:01
Topic-2,41,01/31/17:00:00:01
Topic-3,21,01/31/17:00:00:01
Topic-4,40,01/31/17:00:00:01
Topic-5,18,01/31/17:00:00:01
Topic-6,29,01/31/17:00:00:01
Topic-7,59,01/31/17:00:00:01
Topic-8,16,01/31/17:00:00:01
Topic-9,76,01/31/17:00:00:01
Topic-0,102,01/31/17:00:30:01
Topic-1,57,01/31/17:00:30:01
Topic-2,29,01/31/17:00:30:01
Topic-3,29,01/31/17:00:30:01
Topic-4,52,01/31/17:00:30:01
Topic-5,19,01/31/17:00:30:01
Topic-6,24,01/31/17:00:30:01
Topic-7,70,01/31/17:00:30:01
Topic-8,12,01/31/17:00:30:01
Topic-9,172,01/31/17:00:30:01
Topic-0,140,01/31/17:01:00:01
Topic-1,52,01/31/17:01:00:01
Topic-2,38,01/31/17:01:00:01
Topic-3,29,01/31/17:01:00:01
Topic-4,37,01/31/17:01:00:01
Topic-5,19,01/31/17:01:00:01
Topic-6,22,01/31/17:01:00:01
Topic-7,50,01/31/17:01:00:01
Topic-8,27,01/31/17:01:00:01
Topic-9,469,01/31/17:01:00:01
Topic-0,140,01/31/17:01:30:01
Topic-1,33,01/31/17:01:30:01
Topic-2,72,01/31/17:01:30:01
Topic-3,31,01/31/17:01:30:01
Topic-4,39,01/31/17:01:30:01
Topic-5,24,01/31/17:01:30:01
Topic-6,17,01/31/17:01:30:01
Topic-7,35,01/31/17:01:30:01
Topic-8,21,01/31/17:01:30:01
Topic-9,236,01/31/17:01:30:01
Topic-0,124,01/31/17:02:00:01
Topic-1,62,01/31/17:02:00:01
Topic-2,39,01/31/17:02:00:01
Topic-3,40,01/31/17:02:00:01
Topic-4,41,01/31/17:02:00:01
Topic-5,16,01/31/17:02:00:01
Topic-6,12,01/31/17:02:00:01
Topic-7,23,01/31/17:02:00:01
Topic-8,17,01/31/17:02:00:01
Topic-9,207,01/31/17:02:00:01
Topic-0,82,01/31/17:02:30:01
Topic-1,45,01/31/17:02:30:01
Topic-2,33,01/31/17:02:30:01
Topic-3,59,01/31/17:02:30:01
Topic-4,41,01/31/17:02:30:01
Topic-5,20,01/31/17:02:30:01
Topic-6,14,01/31/17:02:30:01
Topic-7,39,01/31/17:02:30:01
Topic-8,13,01/31/17:02:30:01
Topic-9,164,01/31/17:02:30:01
Topic-0,84,01/31/17:03:00:01
Topic-1,50,01/31/17:03:00:01
Topic-2,19,01/31/17:03:00:01
Topic-3,35,01/31/17:03:00:01
Topic-4,31,01/31/17:03:00:01
Topic-5,14,01/31/17:03:00:01
Topic-6,8,01/31/17:03:00:01
Topic-7,39,01/31/17:03:00:01
Topic-8,20,01/31/17:03:00:01
Topic-9,123,01/31/17:03:00:01
Topic-0,76,01/31/17:03:30:01
Topic-1,39,01/31/17:03:30:01
Topic-2,18,01/31/17:03:30:01
Topic-3,14,01/31/17:03:30:01
Topic-4,18,01/31/17:03:30:01
Topic-5,9,01/31/17:03:30:01
Topic-6,12,01/31/17:03:30:01
Topic-7,31,01/31/17:03:30:01
Topic-8,14,01/31/17:03:30:01
Topic-9,75,01/31/17:03:30:01
Topic-0,75,01/31/17:04:00:01
Topic-1,30,01/31/17:04:00:01
Topic-2,22,01/31/17:04:00:01
Topic-3,7,01/31/17:04:00:01
Topic-4,41,01/31/17:04:00:01
Topic-5,12,01/31/17:04:00:01
Topic-6,17,01/31/17:04:00:01
Topic-7,31,01/31/17:04:00:01
Topic-8,3,01/31/17:04:00:01
Topic-9,68,01/31/17:04:00:01
Topic-0,61,01/31/17:04:30:01
Topic-1,39,01/31/17:04:30:01
Topic-2,19,01/31/17:04:30:01
Topic-3,15,01/31/17:04:30:01
Topic-4,22,01/31/17:04:30:01
Topic-5,7,01/31/17:04:30:01
Topic-6,15,01/31/17:04:30:01
Topic-7,22,01/31/17:04:30:01
Topic-8,18,01/31/17:04:30:01
Topic-9,56,01/31/17:04:30:01
Topic-0,64,01/31/17:05:00:01
Topic-1,33,01/31/17:05:00:01
Topic-2,16,01/31/17:05:00:01
Topic-3,14,01/31/17:05:00:01
Topic-4,22,01/31/17:05:00:01
Topic-5,8,01/31/17:05:00:01
Topic-6,23,01/31/17:05:00:01
Topic-7,30,01/31/17:05:00:01
Topic-8,14,01/31/17:05:00:01
Topic-9,50,01/31/17:05:00:01
Topic-0,62,01/31/17:05:30:01
Topic-1,34,01/31/17:05:30:01
Topic-2,24,01/31/17:05:30:01
Topic-3,9,01/31/17:05:30:01
Topic-4,26,01/31/17:05:30:01
Topic-5,9,01/31/17:05:30:01
Topic-6,14,01/31/17:05:30:01
Topic-7,32,01/31/17:05:30:01
Topic-8,6,01/31/17:05:30:01
Topic-9,50,01/31/17:05:30:01
Topic-0,40,01/31/17:06:00:01
Topic-1,13,01/31/17:06:00:01
Topic-2,15,01/31/17:06:00:01
Topic-3,12,01/31/17:06:00:01
Topic-4,27,01/31/17:06:00:01
Topic-5,7,01/31/17:06:00:01
Topic-6,37,01/31/17:06:00:01
Topic-7,15,01/31/17:06:00:01
Topic-8,18,01/31/17:06:00:01
Topic-9,42,01/31/17:06:00:01
Topic-0,59,01/31/17:06:30:01
Topic-1,21,01/31/17:06:30:01
Topic-2,10,01/31/17:06:30:01
Topic-3,14,01/31/17:06:30:01
Topic-4,14,01/31/17:06:30:01
Topic-5,5,01/31/17:06:30:01
Topic-6,12,01/31/17:06:30:01
Topic-7,33,01/31/17:06:30:01
Topic-8,13,01/31/17:06:30:01
Topic-9,44,01/31/17:06:30:01
Topic-0,37,01/31/17:07:00:01
Topic-1,14,01/31/17:07:00:01
Topic-2,12,01/31/17:07:00:01
Topic-3,9,01/31/17:07:00:01
Topic-4,14,01/31/17:07:00:01
Topic-5,9,01/31/17:07:00:01
Topic-6,33,01/31/17:07:00:01
Topic-7,13,01/31/17:07:00:01
Topic-8,21,01/31/17:07:00:01
Topic-9,41,01/31/17:07:00:01
Topic-0,62,01/31/17:07:30:01
Topic-1,23,01/31/17:07:30:01
Topic-2,5,01/31/17:07:30:01
Topic-3,5,01/31/17:07:30:01
Topic-4,14,01/31/17:07:30:01
Topic-5,4,01/31/17:07:30:01
Topic-6,21,01/31/17:07:30:01
Topic-7,13,01/31/17:07:30:01
Topic-8,17,01/31/17:07:30:01
Topic-9,42,01/31/17:07:30:01
Topic-0,42,01/31/17:08:00:01
Topic-1,21,01/31/17:08:00:01
Topic-2,16,01/31/17:08:00:01
Topic-3,12,01/31/17:08:00:01
Topic-4,27,01/31/17:08:00:01
Topic-5,4,01/31/17:08:00:01
Topic-6,24,01/31/17:08:00:01
Topic-7,18,01/31/17:08:00:01
Topic-8,15,01/31/17:08:00:01
Topic-9,34,01/31/17:08:00:01
Topic-0,48,01/31/17:08:30:01
Topic-1,14,01/31/17:08:30:01
Topic-2,9,01/31/17:08:30:01
Topic-3,6,01/31/17:08:30:01
Topic-4,23,01/31/17:08:30:01
Topic-5,16,01/31/17:08:30:01
Topic-6,22,01/31/17:08:30:01
Topic-7,21,01/31/17:08:30:01
Topic-8,13,01/31/17:08:30:01
Topic-9,26,01/31/17:08:30:01
Topic-0,44,01/31/17:09:00:01
Topic-1,35,01/31/17:09:00:01
Topic-2,14,01/31/17:09:00:01
Topic-3,17,01/31/17:09:00:01
Topic-4,24,01/31/17:09:00:01
Topic-5,14,01/31/17:09:00:01
Topic-6,24,01/31/17:09:00:01
Topic-7,18,01/31/17:09:00:01
Topic-8,12,01/31/17:09:00:01
Topic-9,39,01/31/17:09:00:01
Topic-0,57,01/31/17:09:30:01
Topic-1,29,01/31/17:09:30:01
Topic-2,12,01/31/17:09:30:01
Topic-3,24,01/31/17:09:30:01
Topic-4,25,01/31/17:09:30:01
Topic-5,4,01/31/17:09:30:01
Topic-6,21,01/31/17:09:30:01
Topic-7,20,01/31/17:09:30:01
Topic-8,15,01/31/17:09:30:01
Topic-9,33,01/31/17:09:30:01
Topic-0,65,01/31/17:10:00:01
Topic-1,29,01/31/17:10:00:01
Topic-2,20,01/31/17:10:00:01
Topic-3,21,01/31/17:10:00:01
Topic-4,20,01/31/17:10:00:01
Topic-5,16,01/31/17:10:00:01
Topic-6,25,01/31/17:10:00:01
Topic-7,29,01/31/17:10:00:01
Topic-8,15,01/31/17:10:00:01
Topic-9,45,01/31/17:10:00:01
Topic-0,69,01/31/17:10:30:01
Topic-1,37,01/31/17:10:30:01
Topic-2,30,01/31/17:10:30:01
Topic-3,29,01/31/17:10:30:01
Topic-4,32,01/31/17:10:30:01
Topic-5,15,01/31/17:10:30:01
Topic-6,29,01/31/17:10:30:01
Topic-7,28,01/31/17:10:30:01
Topic-8,9,01/31/17:10:30:01
Topic-9,50,01/31/17:10:30:01
Topic-0,90,01/31/17:11:00:01
Topic-1,32,01/31/17:11:00:01
Topic-2,31,01/31/17:11:00:01
Topic-3,32,01/31/17:11:00:01
Topic-4,36,01/31/17:11:00:01
Topic-5,13,01/31/17:11:00:01
Topic-6,24,01/31/17:11:00:01
Topic-7,36,01/31/17:11:00:01
Topic-8,31,01/31/17:11:00:01
Topic-9,62,01/31/17:11:00:01
Topic-0,119,01/31/17:11:30:01
Topic-1,31,01/31/17:11:30:01
Topic-2,36,01/31/17:11:30:01
Topic-3,35,01/31/17:11:30:01
Topic-4,36,01/31/17:11:30:01
Topic-5,13,01/31/17:11:30:01
Topic-6,42,01/31/17:11:30:01
Topic-7,32,01/31/17:11:30:01
Topic-8,23,01/31/17:11:30:01
Topic-9,57,01/31/17:11:30:01
Topic-0,97,01/31/17:12:00:01
Topic-1,41,01/31/17:12:00:01
Topic-2,45,01/31/17:12:00:01
Topic-3,29,01/31/17:12:00:01
Topic-4,45,01/31/17:12:00:01
Topic-5,22,01/31/17:12:00:01
Topic-6,20,01/31/17:12:00:01
Topic-7,42,01/31/17:12:00:01
