topic,proportion,timeStep
Topic-8,40,01/31/17:12:00:01
Topic-9,50,01/31/17:12:00:01
Topic-0,122,01/31/17:12:30:01
Topic-1,31,01/31/17:12:30:01
Topic-2,48,01/31/17:12:30:01
Topic-3,32,01/31/17:12:30:01
Topic-4,57,01/31/17:12:30:01
Topic-5,17,01/31/17:12:30:01
Topic-6,28,01/31/17:12:30:01
Topic-7,54,01/31/17:12:30:01
Topic-8,42,01/31/17:12:30:01
Topic-9,46,01/31/17:12:30:01
Topic-0,105,01/31/17:13:00:01
Topic-1,36,01/31/17:13:00:01
Topic-2,44,01/31/17:13:00:01
Topic-3,41,01/31/17:13:00:01
Topic-4,47,01/31/17:13:00:01
Topic-5,27,01/31/17:13:00:01
Topic-6,35,01/31/17:13:00:01
Topic-7,68,01/31/17:13:00:01
Topic-8,36,01/31/17:13:00:01
Topic-9,54,01/31/17:13:00:01
Topic-0,107,01/31/17:13:30:01
Topic-1,44,01/31/17:13:30:01
Topic-2,52,01/31/17:13:30:01
Topic-3,83,01/31/17:13:30:01
Topic-4,44,01/31/17:13:30:01
Topic-5,28,01/31/17:13:30:01
Topic-6,51,01/31/17:13:30:01
Topic-7,54,01/31/17:13:30:01
Topic-8,27,01/31/17:13:30:01
Topic-9,60,01/31/17:13:30:01
Topic-0,107,01/31/17:14:00:01
Topic-1,40,01/31/17:14:00:01
Topic-2,40,01/31/17:14:00:01
Topic-3,54,01/31/17:14:00:01
Topic-4,70,01/31/17:14:00:01
Topic-5,17,01/31/17:14:00:01
Topic-6,46,01/31/17:14:00:01
Topic-7,55,01/31/17:14:00:01
Topic-8,20,01/31/17:14:00:01
Topic-9,40,01/31/17:14:00:01
Topic-0,113,01/31/17:14:30:01
Topic-1,58,01/31/17:14:30:01
Topic-2,46,01/31/17:14:30:01
Topic-3,61,01/31/17:14:30:01
Topic-4,58,01/31/17:14:30:01
Topic-5,28,01/31/17:14:30:01
Topic-6,41,01/31/17:14:30:01
Topic-7,69,01/31/17:14:30:01
Topic-8,30,01/31/17:14:30:01
Topic-9,34,01/31/17:14:30:01
Topic-0,116,01/31/17:15:00:01
Topic-1,56,01/31/17:15:00:01
Topic-2,38,01/31/17:15:00:01
Topic-3,41,01/31/17:15:00:01
Topic-4,46,01/31/17:15:00:01
Topic-5,35,01/31/17:15:00:01
Topic-6,27,01/31/17:15:00:01
Topic-7,44,01/31/17:15:00:01
Topic-8,39,01/31/17:15:00:01
Topic-9,54,01/31/17:15:00:01
Topic-0,110,01/31/17:15:30:01
Topic-1,49,01/31/17:15:30:01
Topic-2,58,01/31/17:15:30:01
Topic-3,64,01/31/17:15:30:01
Topic-4,46,01/31/17:15:30:01
Topic-5,11,01/31/17:15:30:01
Topic-6,29,01/31/17:15:30:01
Topic-7,77,01/31/17:15:30:01
Topic-8,24,01/31/17:15:30:01
Topic-9,51,01/31/17:15:30:01
Topic-0,108,01/31/17:16:00:01
Topic-1,35,01/31/17:16:00:01
Topic-2,35,01/31/17:16:00:01
Topic-3,49,01/31/17:16:00:01
Topic-4,39,01/31/17:16:00:01
Topic-5,43,01/31/17:16:00:01
Topic-6,36,01/31/17:16:00:01
Topic-7,90,01/31/17:16:00:01
Topic-8,32,01/31/17:16:00:01
Topic-9,36,01/31/17:16:00:01
Topic-0,132,01/31/17:16:30:01
Topic-1,37,01/31/17:16:30:01
Topic-2,55,01/31/17:16:30:01
Topic-3,46,01/31/17:16:30:01
Topic-4,55,01/31/17:16:30:01
Topic-5,37,01/31/17:16:30:01
Topic-6,24,01/31/17:16:30:01
Topic-7,71,01/31/17:16:30:01
Topic-8,27,01/31/17:16:30:01
Topic-9,40,01/31/17:16:30:01
Topic-0,169,01/31/17:17:00:01
Topic-1,46,01/31/17:17:00:01
Topic-2,38,01/31/17:17:00:01
Topic-3,35,01/31/17:17:00:01
Topic-4,57,01/31/17:17:00:01
Topic-5,26,01/31/17:17:00:01
Topic-6,22,01/31/17:17:00:01
Topic-7,66,01/31/17:17:00:01
Topic-8,31,01/31/17:17:00:01
Topic-9,31,01/31/17:17:00:01
Topic-0,146,01/31/17:17:30:01
Topic-1,46,01/31/17:17:30:01
Topic-2,36,01/31/17:17:30:01
Topic-3,40,01/31/17:17:30:01
Topic-4,43,01/31/17:17:30:01
Topic-5,27,01/31/17:17:30:01
Topic-6,28,01/31/17:17:30:01
Topic-7,72,01/31/17:17:30:01
Topic-8,21,01/31/17:17:30:01
Topic-9,36,01/31/17:17:30:01
Topic-0,122,01/31/17:18:00:01
Topic-1,44,01/31/17:18:00:01
Topic-2,41,01/31/17:18:00:01
Topic-3,32,01/31/17:18:00:01
Topic-4,52,01/31/17:18:00:01
Topic-5,33,01/31/17:18:00:01
Topic-6,26,01/31/17:18:00:01
Topic-7,86,01/31/17:18:00:01
Topic-8,36,01/31/17:18:00:01
Topic-9,29,01/31/17:18:00:01
Topic-0,109,01/31/17:18:30:01
Topic-1,56,01/31/17:18:30:01
Topic-2,12,01/31/17:18:30:01
Topic-3,54,01/31/17:18:30:01
Topic-4,25,01/31/17:18:30:01
Topic-5,17,01/31/17:18:30:01
Topic-6,29,01/31/17:18:30:01
Topic-7,54,01/31/17:18:30:01
Topic-8,22,01/31/17:18:30:01
Topic-9,44,01/31/17:18:30:01
Topic-0,115,01/31/17:19:00:01
Topic-1,32,01/31/17:19:00:01
Topic-2,39,01/31/17:19:00:01
Topic-3,46,01/31/17:19:00:01
Topic-4,32,01/31/17:19:00:01
Topic-5,32,01/31/17:19:00:01
Topic-6,27,01/31/17:19:00:01
Topic-7,44,01/31/17:19:00:01
Topic-8,21,01/31/17:19:00:01
Topic-9,33,01/31/17:19:00:01
Topic-0,85,01/31/17:19:30:01
Topic-1,38,01/31/17:19:30:01
Topic-2,44,01/31/17:19:30:01
Topic-3,52,01/31/17:19:30:01
Topic-4,31,01/31/17:19:30:01
Topic-5,20,01/31/17:19:30:01
Topic-6,27,01/31/17:19:30:01
Topic-7,71,01/31/17:19:30:01
Topic-8,39,01/31/17:19:30:01
Topic-9,24,01/31/17:19:30:01
Topic-0,120,01/31/17:20:00:01
Topic-1,31,01/31/17:20:00:01
Topic-2,73,01/31/17:20:00:01
Topic-3,34,01/31/17:20:00:01
Topic-4,39,01/31/17:20:00:01
Topic-5,26,01/31/17:20:00:01
Topic-6,25,01/31/17:20:00:01
Topic-7,60,01/31/17:20:00:01
Topic-8,29,01/31/17:20:00:01
Topic-9,20,01/31/17:20:00:01
Topic-0,102,01/31/17:20:30:01
Topic-1,21,01/31/17:20:30:01
Topic-2,49,01/31/17:20:30:01
Topic-3,65,01/31/17:20:30:01
Topic-4,37,01/31/17:20:30:01
Topic-5,26,01/31/17:20:30:01
Topic-6,32,01/31/17:20:30:01
Topic-7,91,01/31/17:20:30:01
Topic-8,33,01/31/17:20:30:01
Topic-9,28,01/31/17:20:30:01
Topic-0,91,01/31/17:21:00:01
Topic-1,30,01/31/17:21:00:01
Topic-2,35,01/31/17:21:00:01
Topic-3,67,01/31/17:21:00:01
Topic-4,45,01/31/17:21:00:01
Topic-5,21,01/31/17:21:00:01
Topic-6,52,01/31/17:21:00:01
Topic-7,62,01/31/17:21:00:01
Topic-8,17,01/31/17:21:00:01
Topic-9,25,01/31/17:21:00:01
Topic-0,80,01/31/17:21:30:01
Topic-1,33,01/31/17:21:30:01
Topic-2,30,01/31/17:21:30:01
Topic-3,48,01/31/17:21:30:01
Topic-4,61,01/31/17:21:30:01
Topic-5,32,01/31/17:21:30:01
Topic-6,37,01/31/17:21:30:01
Topic-7,58,01/31/17:21:30:01
Topic-8,48,01/31/17:21:30:01
Topic-9,24,01/31/17:21:30:01
Topic-0,113,01/31/17:22:00:01
Topic-1,48,01/31/17:22:00:01
Topic-2,43,01/31/17:22:00:01
Topic-3,44,01/31/17:22:00:01
Topic-4,31,01/31/17:22:00:01
Topic-5,37,01/31/17:22:00:01
Topic-6,27,01/31/17:22:00:01
Topic-7,51,01/31/17:22:00:01
Topic-8,26,01/31/17:22:00:01
Topic-9,25,01/31/17:22:00:01
Topic-0,87,01/31/17:22:30:01
Topic-1,39,01/31/17:22:30:01
Topic-2,33,01/31/17:22:30:01
Topic-3,55,01/31/17:22:30:01
Topic-4,23,01/31/17:22:30:01
Topic-5,21,01/31/17:22:30:01
Topic-6,17,01/31/17:22:30:01
Topic-7,67,01/31/17:22:30:01
Topic-8,46,01/31/17:22:30:01
Topic-9,24,01/31/17:22:30:01
Topic-0,93,01/31/17:23:00:01
Topic-1,42,01/31/17:23:00:01
Topic-2,103,01/31/17:23:00:01
Topic-3,61,01/31/17:23:00:01
Topic-4,30,01/31/17:23:00:01
Topic-5,19,01/31/17:23:00:01
Topic-6,21,01/31/17:23:00:01
Topic-7,44,01/31/17:23:00:01
Topic-8,18,01/31/17:23:00:01
Topic-9,16,01/31/17:23:00:01
Topic-0,81,01/31/17:23:30:01
Topic-1,16,01/31/17:23:30:01
Topic-2,292,01/31/17:23:30:01
Topic-3,49,01/31/17:23:30:01
Topic-4,14,01/31/17:23:30:01
Topic-5,19,01/31/17:23:30:01
Topic-6,9,01/31/17:23:30:01
Topic-7,39,01/31/17:23:30:01
Topic-8,17,01/31/17:23:30:01
Topic-9,23,01/31/17:23:30:01
Topic-0,57,02/01/17:00:00:01
Topic-1,13,02/01/17:00:00:01
Topic-2,152,02/01/17:00:00:01
Topic-3,46,02/01/17:00:00:01
Topic-4,18,02/01/17:00:00:01
Topic-5,20,02/01/17:00:00:01
Topic-6,11,02/01/17:00:00:01
Topic-7,23,02/01/17:00:00:01
Topic-8,24,02/01/17:00:00:01
Topic-9,10,02/01/17:00:00:01
Topic-0,64,02/01/17:00:30:01
Topic-1,22,02/01/17:00:30:01
Topic-2,99,02/01/17:00:30:01
Topic-3,69,02/01/17:00:30:01
Topic-4,19,02/01/17:00:30:01
Topic-5,16,02/01/17:00:30:01
Topic-6,11,02/01/17:00:30:01
Topic-7,38,02/01/17:00:30:01
Topic-8,16,02/01/17:00:30:01
Topic-9,6,02/01/17:00:30:01
Topic-0,95,02/01/17:01:00:01
Topic-1,14,02/01/17:01:00:01
Topic-2,76,02/01/17:01:00:01
Topic-3,41,02/01/17:01:00:01
Topic-4,16,02/01/17:01:00:01
Topic-5,32,02/01/17:01:00:01
Topic-6,11,02/01/17:01:00:01
Topic-7,23,02/01/17:01:00:01
Topic-8,25,02/01/17:01:00:01
Topic-9,14,02/01/17:01:00:01
Topic-0,79,02/01/17:01:30:01
Topic-1,14,02/01/17:01:30:01
Topic-2,72,02/01/17:01:30:01
Topic-3,60,02/01/17:01:30:01
Topic-4,16,02/01/17:01:30:01
Topic-5,26,02/01/17:01:30:01
Topic-6,3,02/01/17:01:30:01
Topic-7,18,02/01/17:01:30:01
Topic-8,24,02/01/17:01:30:01
Topic-9,16,02/01/17:01:30:01
Topic-0,59,02/01/17:02:00:01
Topic-1,25,02/01/17:02:00:01
Topic-2,52,02/01/17:02:00:01
Topic-3,37,02/01/17:02:00:01
Topic-4,26,02/01/17:02:00:01
Topic-5,37,02/01/17:02:00:01
Topic-6,14,02/01/17:02:00:01
Topic-7,20,02/01/17:02:00:01
Topic-8,17,02/01/17:02:00:01
Topic-9,10,02/01/17:02:00:01
Topic-0,85,02/01/17:02:30:01
Topic-1,11,02/01/17:02:30:01
Topic-2,49,02/01/17:02:30:01
Topic-3,42,02/01/17:02:30:01
Topic-4,17,02/01/17:02:30:01
Topic-5,14,02/01/17:02:30:01
Topic-6,10,02/01/17:02:30:01
Topic-7,35,02/01/17:02:30:01
Topic-8,17,02/01/17:02:30:01
Topic-9,9,02/01/17:02:30:01
Topic-0,45,02/01/17:03:00:01
Topic-1,19,02/01/17:03:00:01
Topic-2,39,02/01/17:03:00:01
Topic-3,52,02/01/17:03:00:01
Topic-4,21,02/01/17:03:00:01
Topic-5,29,02/01/17:03:00:01
Topic-6,13,02/01/17:03:00:01
Topic-7,28,02/01/17:03:00:01
Topic-8,15,02/01/17:03:00:01
Topic-9,11,02/01/17:03:00:01
Topic-0,80,02/01/17:03:30:01
Topic-1,15,02/01/17:03:30:01
Topic-2,25,02/01/17:03:30:01
Topic-3,19,02/01/17:03:30:01
Topic-4,15,02/01/17:03:30:01
Topic-5,18,02/01/17:03:30:01
Topic-6,5,02/01/17:03:30:01
Topic-7,22,02/01/17:03:30:01
Topic-8,6,02/01/17:03:30:01
Topic-9,11,02/01/17:03:30:01
Topic-0,53,02/01/17:04:00:01
Topic-1,11,02/01/17:04:00:01
Topic-2,40,02/01/17:04:00:01
Topic-3,24,02/01/17:04:00:01
Topic-4,23,02/01/17:04:00:01
Topic-5,14,02/01/17:04:00:01
Topic-6,6,02/01/17:04:00:01
Topic-7,19,02/01/17:04:00:01
Topic-8,15,02/01/17:04:00:01
Topic-9,5,02/01/17:04:00:01
Topic-0,31,02/01/17:04:30:01
Topic-1,12,02/01/17:04:30:01
Topic-2,29,02/01/17:04:30:01
Topic-3,32,02/01/17:04:30:01
Topic-4,22,02/01/17:04:30:01
Topic-5,12,02/01/17:04:30:01
Topic-6,9,02/01/17:04:30:01
Topic-7,15,02/01/17:04:30:01
Topic-8,9,02/01/17:04:30:01
Topic-9,4,02/01/17:04:30:01
Topic-0,35,02/01/17:05:00:01
Topic-1,10,02/01/17:05:00:01
Topic-2,39,02/01/17:05:00:01
Topic-3,31,02/01/17:05:00:01
Topic-4,13,02/01/17:05:00:01
Topic-5,14,02/01/17:05:00:01
Topic-6,8,02/01/17:05:00:01
Topic-7,14,02/01/17:05:00:01
Topic-8,16,02/01/17:05:00:01
Topic-9,6,02/01/17:05:00:01
Topic-0,29,02/01/17:05:30:01
Topic-1,8,02/01/17:05:30:01
Topic-2,31,02/01/17:05:30:01
Topic-3,25,02/01/17:05:30:01
Topic-4,14,02/01/17:05:30:01
Topic-5,9,02/01/17:05:30:01
Topic-6,7,02/01/17:05:30:01
Topic-7,12,02/01/17:05:30:01
Topic-8,14,02/01/17:05:30:01
Topic-9,4,02/01/17:05:30:01
Topic-0,27,02/01/17:06:00:01
Topic-1,8,02/01/17:06:00:01
Topic-2,20,02/01/17:06:00:01
Topic-3,17,02/01/17:06:00:01
Topic-4,17,02/01/17:06:00:01
Topic-5,15,02/01/17:06:00:01
Topic-6,8,02/01/17:06:00:01
Topic-7,13,02/01/17:06:00:01
Topic-8,16,02/01/17:06:00:01
Topic-9,8,02/01/17:06:00:01
Topic-0,23,02/01/17:06:30:01
Topic-1,9,02/01/17:06:30:01
Topic-2,23,02/01/17:06:30:01
Topic-3,6,02/01/17:06:30:01
Topic-4,16,02/01/17:06:30:01
Topic-5,9,02/01/17:06:30:01
Topic-6,16,02/01/17:06:30:01
Topic-7,20,02/01/17:06:30:01
Topic-8,21,02/01/17:06:30:01
Topic-9,7,02/01/17:06:30:01
Topic-0,25,02/01/17:07:00:01
Topic-1,2,02/01/17:07:00:01
Topic-2,31,02/01/17:07:00:01
Topic-3,18,02/01/17:07:00:01
Topic-4,12,02/01/17:07:00:01
Topic-5,11,02/01/17:07:00:01
Topic-6,10,02/01/17:07:00:01
Topic-7,13,02/01/17:07:00:01
Topic-8,16,02/01/17:07:00:01
Topic-9,1,02/01/17:07:00:01
Topic-0,44,02/01/17:07:30:01
Topic-1,12,02/01/17:07:30:01
Topic-2,22,02/01/17:07:30:01
Topic-3,9,02/01/17:07:30:01
Topic-4,7,02/01/17:07:30:01
Topic-5,10,02/01/17:07:30:01
Topic-6,6,02/01/17:07:30:01
Topic-7,8,02/01/17:07:30:01
Topic-8,13,02/01/17:07:30:01
Topic-9,3,02/01/17:07:30:01
Topic-0,23,02/01/17:08:00:01
Topic-1,17,02/01/17:08:00:01
Topic-2,17,02/01/17:08:00:01
Topic-3,21,02/01/17:08:00:01
Topic-4,24,02/01/17:08:00:01
Topic-5,14,02/01/17:08:00:01
Topic-6,9,02/01/17:08:00:01
Topic-7,12,02/01/17:08:00:01
Topic-8,22,02/01/17:08:00:01
Topic-9,6,02/01/17:08:00:01
Topic-0,29,02/01/17:08:30:01
Topic-1,19,02/01/17:08:30:01
Topic-2,30,02/01/17:08:30:01
Topic-3,14,02/01/17:08:30:01
Topic-4,9,02/01/17:08:30:01
Topic-5,11,02/01/17:08:30:01
Topic-6,9,02/01/17:08:30:01
Topic-7,12,02/01/17:08:30:01
Topic-8,20,02/01/17:08:30:01
Topic-9,7,02/01/17:08:30:01
Topic-0,43,02/01/17:09:00:01
Topic-1,7,02/01/17:09:00:01
Topic-2,17,02/01/17:09:00:01
Topic-3,16,02/01/17:09:00:01
Topic-4,16,02/01/17:09:00:01
Topic-5,9,02/01/17:09:00:01
Topic-6,13,02/01/17:09:00:01
Topic-7,17,02/01/17:09:00:01
Topic-8,21,02/01/17:09:00:01
Topic-9,6,02/01/17:09:00:01
Topic-0,38,02/01/17:09:30:01
Topic-1,14,02/01/17:09:30:01
Topic-2,38,02/01/17:09:30:01
Topic-3,16,02/01/17:09:30:01
Topic-4,21,02/01/17:09:30:01
Topic-5,25,02/01/17:09:30:01
Topic-6,20,02/01/17:09:30:01
Topic-7,11,02/01/17:09:30:01
Topic-8,19,02/01/17:09:30:01
Topic-9,3,02/01/17:09:30:01
Topic-0,32,02/01/17:10:00:01
Topic-1,30,02/01/17:10:00:01
Topic-2,29,02/01/17:10:00:01
Topic-3,26,02/01/17:10:00:01
Topic-4,24,02/01/17:10:00:01
Topic-5,16,02/01/17:10:00:01
Topic-6,26,02/01/17:10:00:01
Topic-7,16,02/01/17:10:00:01
Topic-8,24,02/01/17:10:00:01
Topic-9,6,02/01/17:10:00:01
Topic-0,69,02/01/17:10:30:01
Topic-1,17,02/01/17:10:30:01
Topic-2,57,02/01/17:10:30:01
Topic-3,27,02/01/17:10:30:01
Topic-4,21,02/01/17:10:30:01
Topic-5,21,02/01/17:10:30:01
Topic-6,25,02/01/17:10:30:01
Topic-7,14,02/01/17:10:30:01
Topic-8,18,02/01/17:10:30:01
Topic-9,5,02/01/17:10:30:01
Topic-0,81,02/01/17:11:00:01
Topic-1,21,02/01/17:11:00:01
Topic-2,43,02/01/17:11:00:01
Topic-3,42,02/01/17:11:00:01
Topic-4,20,02/01/17:11:00:01
Topic-5,22,02/01/17:11:00:01
Topic-6,18,02/01/17:11:00:01
Topic-7,27,02/01/17:11:00:01
Topic-8,35,02/01/17:11:00:01
Topic-9,9,02/01/17:11:00:01
Topic-0,69,02/01/17:11:30:01
Topic-1,17,02/01/17:11:30:01
Topic-2,43,02/01/17:11:30:01
Topic-3,50,02/01/17:11:30:01
Topic-4,38,02/01/17:11:30:01
Topic-5,14,02/01/17:11:30:01
Topic-6,29,02/01/17:11:30:01
Topic-7,38,02/01/17:11:30:01
Topic-8,53,02/01/17:11:30:01
Topic-9,14,02/01/17:11:30:01
Topic-0,73,02/01/17:12:00:01
Topic-1,22,02/01/17:12:00:01
Topic-2,42,02/01/17:12:00:01
Topic-3,55,02/01/17:12:00:01
Topic-4,20,02/01/17:12:00:01
Topic-5,16,02/01/17:12:00:01
Topic-6,20,02/01/17:12:00:01
Topic-7,28,02/01/17:12:00:01
Topic-8,35,02/01/17:12:00:01
Topic-9,14,02/01/17:12:00:01
Topic-0,62,02/01/17:12:30:01
Topic-1,9,02/01/17:12:30:01
Topic-2,59,02/01/17:12:30:01
Topic-3,51,02/01/17:12:30:01
Topic-4,41,02/01/17:12:30:01
Topic-5,11,02/01/17:12:30:01
Topic-6,33,02/01/17:12:30:01
Topic-7,33,02/01/17:12:30:01
Topic-8,28,02/01/17:12:30:01
Topic-9,5,02/01/17:12:30:01
Topic-0,104,02/01/17:13:00:01
Topic-1,32,02/01/17:13:00:01
Topic-2,69,02/01/17:13:00:01
Topic-3,33,02/01/17:13:00:01
Topic-4,23,02/01/17:13:00:01
Topic-5,23,02/01/17:13:00:01
Topic-6,20,02/01/17:13:00:01
Topic-7,38,02/01/17:13:00:01
Topic-8,32,02/01/17:13:00:01
Topic-9,6,02/01/17:13:00:01
Topic-0,115,02/01/17:13:30:01
Topic-1,28,02/01/17:13:30:01
Topic-2,66,02/01/17:13:30:01
Topic-3,64,02/01/17:13:30:01
Topic-4,24,02/01/17:13:30:01
Topic-5,15,02/01/17:13:30:01
Topic-6,16,02/01/17:13:30:01
Topic-7,29,02/01/17:13:30:01
Topic-8,34,02/01/17:13:30:01
Topic-9,8,02/01/17:13:30:01
Topic-0,63,02/01/17:14:00:01
Topic-1,33,02/01/17:14:00:01
Topic-2,64,02/01/17:14:00:01
Topic-3,89,02/01/17:14:00:01
Topic-4,26,02/01/17:14:00:01
Topic-5,18,02/01/17:14:00:01
Topic-6,36,02/01/17:14:00:01
Topic-7,13,02/01/17:14:00:01
Topic-8,34,02/01/17:14:00:01
Topic-9,6,02/01/17:14:00:01
Topic-0,79,02/01/17:14:30:01
Topic-1,34,02/01/17:14:30:01
Topic-2,50,02/01/17:14:30:01
Topic-3,101,02/01/17:14:30:01
Topic-4,31,02/01/17:14:30:01
Topic-5,20,02/01/17:14:30:01
Topic-6,21,02/01/17:14:30:01
Topic-7,36,02/01/17:14:30:01
Topic-8,19,02/01/17:14:30:01
Topic-9,7,02/01/17:14:30:01
Topic-0,80,02/01/17:15:00:01
Topic-1,28,02/01/17:15:00:01
Topic-2,65,02/01/17:15:00:01
Topic-3,65,02/01/17:15:00:01
Topic-4,25,02/01/17:15:00:01
Topic-5,10,02/01/17:15:00:01
Topic-6,15,02/01/17:15:00:01
Topic-7,43,02/01/17:15:00:01
Topic-8,60,02/01/17:15:00:01
Topic-9,15,02/01/17:15:00:01
Topic-0,122,02/01/17:15:30:01
Topic-1,22,02/01/17:15:30:01
Topic-2,91,02/01/17:15:30:01
Topic-3,95,02/01/17:15:30:01
Topic-4,27,02/01/17:15:30:01
Topic-5,21,02/01/17:15:30:01
Topic-6,20,02/01/17:15:30:01
Topic-7,30,02/01/17:15:30:01
Topic-8,45,02/01/17:15:30:01
Topic-9,4,02/01/17:15:30:01
Topic-0,85,02/01/17:16:00:01
Topic-1,29,02/01/17:16:00:01
Topic-2,47,02/01/17:16:00:01
Topic-3,99,02/01/17:16:00:01
Topic-4,21,02/01/17:16:00:01
Topic-5,17,02/01/17:16:00:01
Topic-6,22,02/01/17:16:00:01
Topic-7,36,02/01/17:16:00:01
Topic-8,54,02/01/17:16:00:01
Topic-9,9,02/01/17:16:00:01
Topic-0,92,02/01/17:16:30:01
Topic-1,20,02/01/17:16:30:01
Topic-2,66,02/01/17:16:30:01
Topic-3,95,02/01/17:16:30:01
Topic-4,34,02/01/17:16:30:01
Topic-5,17,02/01/17:16:30:01
Topic-6,10,02/01/17:16:30:01
Topic-7,26,02/01/17:16:30:01
